Country,Year,Life expectancy,Adult mortality,BMI,HIV/AIDS,GDP,Status,Disease Risk
Afghanistan,2015,65,263,45,0.1,584,Developing,0
Afghanistan,2014,62,270,44,0.1,550,Developing,0
Afghanistan,2013,61,275,43,0.1,530,Developing,1
Afghanistan,2012,60,280,42,0.1,500,Developing,1
Albania,2015,78,80,27,0.1,4500,Developing,0
Albania,2014,77,85,26,0.1,4300,Developing,0
Albania,2013,76,90,25,0.1,4100,Developing,0
Albania,2012,75,95,24,0.1,3900,Developing,1
Algeria,2015,75,120,25,0.1,5500,Developing,0
Algeria,2014,74,125,26,0.1,5300,Developing,0
Algeria,2013,73,130,27,0.1,5100,Developing,0
Algeria,2012,72,135,28,0.1,4900,Developing,1
Argentina,2015,76,95,28,0.3,12000,Developing,0
Argentina,2014,75,100,27,0.3,11500,Developing,0
Argentina,2013,74,105,26,0.3,11000,Developing,0
Argentina,2012,73,110,25,0.3,10500,Developing,1
Australia,2015,82,50,28,0.1,50000,Developed,0
Australia,2014,81,52,27,0.1,49000,Developed,0
Australia,2013,80,54,26,0.1,48000,Developed,0
Australia,2012,79,56,25,0.1,47000,Developed,0
Austria,2015,81,55,26,0.1,45000,Developed,0
Austria,2014,80,57,25,0.1,44000,Developed,0
Austria,2013,79,59,24,0.1,43000,Developed,0
Austria,2012,78,61,23,0.1,42000,Developed,0
Bangladesh,2015,72,150,21,0.1,1200,Developing,0
Bangladesh,2014,71,155,20,0.1,1150,Developing,0
Bangladesh,2013,70,160,19,0.1,1100,Developing,1
Bangladesh,2012,69,165,18,0.1,1050,Developing,1
Belgium,2015,81,60,26,0.1,42000,Developed,0
Belgium,2014,80,62,25,0.1,41000,Developed,0
Belgium,2013,79,64,24,0.1,40000,Developed,0
Belgium,2012,78,66,23,0.1,39000,Developed,0
Brazil,2015,75,110,26,0.5,11000,Developing,0
Brazil,2014,74,115,25,0.5,10500,Developing,0
Brazil,2013,73,120,24,0.5,10000,Developing,1
Brazil,2012,72,125,23,0.5,9500,Developing,1
Canada,2015,82,55,28,0.2,45000,Developed,0
Canada,2014,81,57,27,0.2,44000,Developed,0
Canada,2013,80,59,26,0.2,43000,Developed,0
Canada,2012,79,61,25,0.2,42000,Developed,0
China,2015,76,80,24,0.1,8000,Developing,0
China,2014,75,85,23,0.1,7500,Developing,0
China,2013,74,90,22,0.1,7000,Developing,0
China,2012,73,95,21,0.1,6500,Developing,1
Denmark,2015,80,60,26,0.1,50000,Developed,0
Denmark,2014,79,62,25,0.1,49000,Developed,0
Denmark,2013,78,64,24,0.1,48000,Developed,0
Denmark,2012,77,66,23,0.1,47000,Developed,0
Egypt,2015,71,140,28,0.1,3500,Developing,0
Egypt,2014,70,145,27,0.1,3300,Developing,0
Egypt,2013,69,150,26,0.1,3100,Developing,1
Egypt,2012,68,155,25,0.1,2900,Developing,1
Finland,2015,81,58,26,0.1,42000,Developed,0
Finland,2014,80,60,25,0.1,41000,Developed,0
Finland,2013,79,62,24,0.1,40000,Developed,0
Finland,2012,78,64,23,0.1,39000,Developed,0
France,2015,82,55,26,0.2,40000,Developed,0
France,2014,81,57,25,0.2,39000,Developed,0
France,2013,80,59,24,0.2,38000,Developed,0
France,2012,79,61,23,0.2,37000,Developed,0
Germany,2015,81,58,27,0.1,46000,Developed,0
Germany,2014,80,60,26,0.1,45000,Developed,0
Germany,2013,79,62,25,0.1,44000,Developed,0
Germany,2012,78,64,24,0.1,43000,Developed,0
Greece,2015,81,65,25,0.1,25000,Developed,0
Greece,2014,80,68,24,0.1,24000,Developed,0
Greece,2013,79,71,23,0.1,23000,Developed,0
Greece,2012,78,74,22,0.1,22000,Developed,0
India,2015,68,170,21,0.3,1800,Developing,1
India,2014,67,175,20,0.3,1700,Developing,1
India,2013,66,180,19,0.3,1600,Developing,1
India,2012,65,185,18,0.3,1500,Developing,1
Indonesia,2015,69,140,23,0.3,3500,Developing,0
Indonesia,2014,68,145,22,0.3,3300,Developing,0
Indonesia,2013,67,150,21,0.3,3100,Developing,1
Indonesia,2012,66,155,20,0.3,2900,Developing,1
Italy,2015,83,50,25,0.1,35000,Developed,0
Italy,2014,82,52,24,0.1,34000,Developed,0
Italy,2013,81,54,23,0.1,33000,Developed,0
Italy,2012,80,56,22,0.1,32000,Developed,0
Japan,2015,84,45,23,0.1,38000,Developed,0
Japan,2014,83,47,22,0.1,37000,Developed,0
Japan,2013,82,49,21,0.1,36000,Developed,0
Japan,2012,81,51,20,0.1,35000,Developed,0
Kenya,2015,64,200,22,5.0,1400,Developing,1
Kenya,2014,63,210,21,5.2,1300,Developing,1
Kenya,2013,62,220,20,5.4,1200,Developing,1
Kenya,2012,61,230,19,5.6,1100,Developing,1
Mexico,2015,77,100,28,0.3,9000,Developing,0
Mexico,2014,76,105,27,0.3,8500,Developing,0
Mexico,2013,75,110,26,0.3,8000,Developing,1
Mexico,2012,74,115,25,0.3,7500,Developing,1
Netherlands,2015,82,55,26,0.1,48000,Developed,0
Netherlands,2014,81,57,25,0.1,47000,Developed,0
Netherlands,2013,80,59,24,0.1,46000,Developed,0
Netherlands,2012,79,61,23,0.1,45000,Developed,0
Nigeria,2015,54,300,22,3.5,3000,Developing,1
Nigeria,2014,53,310,21,3.7,2800,Developing,1
Nigeria,2013,52,320,20,3.9,2600,Developing,1
Nigeria,2012,51,330,19,4.1,2400,Developing,1
Norway,2015,82,52,27,0.1,75000,Developed,0
Norway,2014,81,54,26,0.1,73000,Developed,0
Norway,2013,80,56,25,0.1,71000,Developed,0
Norway,2012,79,58,24,0.1,69000,Developed,0
Pakistan,2015,67,180,22,0.1,1400,Developing,1
Pakistan,2014,66,185,21,0.1,1300,Developing,1
Pakistan,2013,65,190,20,0.1,1200,Developing,1
Pakistan,2012,64,195,19,0.1,1100,Developing,1
Portugal,2015,81,60,26,0.2,25000,Developed,0
Portugal,2014,80,62,25,0.2,24000,Developed,0
Portugal,2013,79,64,24,0.2,23000,Developed,0
Portugal,2012,78,66,23,0.2,22000,Developed,0
Russia,2015,71,140,26,0.5,11000,Developing,0
Russia,2014,70,145,25,0.5,10500,Developing,0
Russia,2013,69,150,24,0.5,10000,Developing,1
Russia,2012,68,155,23,0.5,9500,Developing,1
South Africa,2015,63,220,26,18.0,6500,Developing,1
South Africa,2014,62,230,25,18.5,6200,Developing,1
South Africa,2013,61,240,24,19.0,5900,Developing,1
South Africa,2012,60,250,23,19.5,5600,Developing,1
Spain,2015,83,52,27,0.2,32000,Developed,0
Spain,2014,82,54,26,0.2,31000,Developed,0
Spain,2013,81,56,25,0.2,30000,Developed,0
Spain,2012,80,58,24,0.2,29000,Developed,0
Sweden,2015,82,55,26,0.1,52000,Developed,0
Sweden,2014,81,57,25,0.1,51000,Developed,0
Sweden,2013,80,59,24,0.1,50000,Developed,0
Sweden,2012,79,61,23,0.1,49000,Developed,0
Switzerland,2015,83,50,26,0.2,65000,Developed,0
Switzerland,2014,82,52,25,0.2,63000,Developed,0
Switzerland,2013,81,54,24,0.2,61000,Developed,0
Switzerland,2012,80,56,23,0.2,59000,Developed,0
Thailand,2015,75,95,24,1.5,6000,Developing,0
Thailand,2014,74,100,23,1.6,5700,Developing,0
Thailand,2013,73,105,22,1.7,5400,Developing,1
Thailand,2012,72,110,21,1.8,5100,Developing,1
Turkey,2015,75,100,27,0.1,11000,Developing,0
Turkey,2014,74,105,26,0.1,10500,Developing,0
Turkey,2013,73,110,25,0.1,10000,Developing,0
Turkey,2012,72,115,24,0.1,9500,Developing,1
Uganda,2015,62,220,21,6.0,700,Developing,1
Uganda,2014,61,230,20,6.2,680,Developing,1
Uganda,2013,60,240,19,6.4,660,Developing,1
Uganda,2012,59,250,18,6.6,640,Developing,1
Ukraine,2015,72,130,26,0.5,3000,Developing,0
Ukraine,2014,71,135,25,0.5,2800,Developing,0
Ukraine,2013,70,140,24,0.5,2600,Developing,1
Ukraine,2012,69,145,23,0.5,2400,Developing,1
United Kingdom,2015,81,58,27,0.1,43000,Developed,0
United Kingdom,2014,80,60,26,0.1,42000,Developed,0
United Kingdom,2013,79,62,25,0.1,41000,Developed,0
United Kingdom,2012,78,64,24,0.1,40000,Developed,0
United States,2015,79,70,29,0.5,56000,Developed,0
United States,2014,78,72,28,0.5,55000,Developed,0
United States,2013,77,74,27,0.5,54000,Developed,0
United States,2012,76,76,26,0.5,53000,Developed,1
Vietnam,2015,76,95,21,0.4,2200,Developing,0
Vietnam,2014,75,100,20,0.4,2100,Developing,0
Vietnam,2013,74,105,19,0.4,2000,Developing,1
Vietnam,2012,73,110,18,0.4,1900,Developing,1
Zimbabwe,2015,61,250,21,20.0,900,Developing,1
Zimbabwe,2014,60,260,20,20.5,850,Developing,1
Zimbabwe,2013,59,270,19,21.0,800,Developing,1
Zimbabwe,2012,58,280,18,21.5,750,Developing,1
